app_name,rq4_found,rq4_status,rq4_normal_count,rq4_dangerous_count,rq5_found,rq5_status,rq5_unused_count,rq7_found,rq7_status,rq7_vulnerable_count,rq7_safe_export_count,error
Copy of com.bigfishgames.gummydropgoogle_51803001.apk,True,MEDIUM RISK,5,4,True,VULNERABLE,1,True,VULNERABLE,5,4,
Copy of com.biosys.tdcheck_13.apk,True,MEDIUM RISK,4,5,True,VULNERABLE,4,True,VULNERABLE,1,1,
Copy of com.bitaksi.musteri_440830303.apk,True,MEDIUM RISK,7,3,True,VULNERABLE,5,True,VULNERABLE,2,4,
Copy of com.blackstar.apps.teammanager_15.apk,True,MEDIUM RISK,3,2,True,VULNERABLE,4,False,CLEAN,0,1,
Copy of com.blognawa.radio_53.apk,True,MEDIUM RISK,7,1,True,VULNERABLE,7,False,CLEAN,0,1,
Copy of com.blueappsllc.bomdia_1.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,6,True,VULNERABLE,3,3,
Copy of com.bmw.ConnectedRide_551010.apk,True,HIGH RISK,14,14,True,VULNERABLE,20,True,VULNERABLE,14,2,
Copy of com.bosch.boschlevellingremoteapp_153.apk,True,MEDIUM RISK,3,7,True,VULNERABLE,3,False,CLEAN,0,1,
Copy of com.brandbot.mobile_2121.apk,True,VULNERABLE,2,0,True,VULNERABLE,1,False,CLEAN,0,2,
Copy of com.burakgon.netoptimizer_1386.apk,True,VULNERABLE,6,0,True,VULNERABLE,2,True,VULNERABLE,5,6,
Copy of com.byappsc.shehj_266.apk,True,MEDIUM RISK,2,7,True,VULNERABLE,9,True,VULNERABLE,2,2,
Copy of com.callhistory.contacts.calllog_86.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,5,True,VULNERABLE,1,3,
TV Cast for Chromecast_35.13.25.19_Apkpure.apk,True,MEDIUM RISK,3,3,True,VULNERABLE,2,True,VULNERABLE,2,2,
Ultimate Alexa Voice Assistant_3.4.0_Apkpure.apk,True,MEDIUM RISK,8,4,True,VULNERABLE,6,True,VULNERABLE,9,6,
Universal Remote Control_1.0.34_Apkpure.apk,True,MEDIUM RISK,6,6,True,VULNERABLE,6,True,VULNERABLE,1,2,
Universal TV Remote Control_1.1.26_Apkpure.apk,True,MEDIUM RISK,8,4,True,VULNERABLE,11,True,VULNERABLE,2,3,
VLC Mobile Remote - PC & Mac_2.9.1_Apkpure.apk,True,MEDIUM RISK,4,3,True,VULNERABLE,3,True,VULNERABLE,3,2,
Watch Droid Phone_15.16_Apkpure.apk,True,MEDIUM RISK,7,3,True,VULNERABLE,10,True,VULNERABLE,1,3,
Web Video Cast _ Browser to TV_5.6.0_Apkpure.apk,True,MEDIUM RISK,6,3,True,VULNERABLE,2,True,VULNERABLE,2,2,
Withings Health Mate_5.12.1_Apkpure.apk,True,HIGH RISK,7,14,True,VULNERABLE,7,True,VULNERABLE,8,5,
Wyze - Make Your Home Smarter_2.36.0.96_Apkpure.apk,True,HIGH RISK,11,19,True,VULNERABLE,12,True,VULNERABLE,9,7,
Xfinity My Account_1.58.13.20220802141245_Apkpure.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,4,True,VULNERABLE,2,3,
Yoho Sports_20.36.37_Apkpure.apk,True,HIGH RISK,7,11,True,VULNERABLE,9,True,VULNERABLE,7,4,
Yulu - EVs for Rides & Rentals_4.4.1.4_Apkpure.apk,True,HIGH RISK,7,11,True,VULNERABLE,6,True,VULNERABLE,13,8,
